id,premise,hypothesis,label,attacked_hypothesis,generator
447,배우들 작품하나찍을때 힘들었던것을 생각해서3점 이거 재미없음,너무 재밌어서 기꺼이 5점.,2,너무나도 즐거워 기쁜 마음으로 5점을 준다.,clova
448,여기에 정치권이 어린 소녀를 공개적으로 비난하고 나서면서 호주 사회가 국가를 둘러싸고 홍역을 치르고 있다.,호주 사회가 애를 먹고 있다.,0,호주 사회에는 고충이 가득하다.,clova
449,그동안 일본의 거짓 증거가 드러난 것입니다.,일본의 거짓 증거가 노출된 것입니다.,0,일본이 내놓은 허위 증거들이 밝혀진 상황입니다.,clova
450,그렇지만 이러한 점에도 굉장히 훌륭한 숙소였다.,치명적인 단점이 있었다.,1,결정적 약점이 존재했다.,clova
451,공적마스크 5부제가 폐지되면서 대한민국 국민은 6월부터 원하는 때에 마음대로 공적마스크를 살 수 있게 됬다.,공적마스크 5부제가 폐지됬음에도 국민들은 원하는 때에 마음대로 공적마스크를 살 수 가 없다.,2,공적 마스크 구매 제한이 사라졌지만 여전히 사람들은 원할 때마다 이를 자유롭게 구입하기 어렵다.,clova
452,"1993년 12월 23일, 일본 대사관 앞에서 위안부 출신 할머니의 100번째 수요시위가 열린다.",위안부 출신 할머니의 100번째 수요시위는 1993년 2월 13일에 열린다.,2,위안부로 일했던 할머니를 기리는 백 번째 목요집회는 1993년 2월 13일 개최된다.,clova
453,"또 게이츠켈 총재는 증세는 없을 거라고 공언했는데, 이는 오히려 노동당의 연금공약에 대한 의구심을 불러일으켜 선거 패배의 요인이 되었다.",게이츠켈 총재는 선거에서 패배했다.,0,게이츠클일 총재는 투표 결과로 졌다.,clova
454,한편 2018년 평창 동계올림픽은 7년 뒤인 2018년 2월 9일부터 25일까지 진행된다.,2018년 동계올림픽은 5월에만 진행된다.,2,2018년의 동계 올림픽이 오로지 5월 동안 열립니다.,clova
455,"주택법에 공유주택 정의를 신설하고, 공공부문에 적용 중인 공유주택 공급 가이드라인을 민간분야에 적용하기로 했다.",기존 주택법에는 공유주택 정의가 없었다.,0,이전 주택 법규에서는 공유 주거에 대한 개념 규정이 빠져 있었다.,clova
456,시나리오가 탄탄한 한편의 영화를 보는듯했다.,시나리오만큼 연기가 탄탄했다.,1,연기의 견고함이 시나리오에 뒤지지 않았다.,clova
457,이러한 합의에 따라 이란은 기존에 동결된 석유 관련 자산 42억 달러를 회수할 수 있게 되었다.,이란은 석유 관련 자산 회수를 위해 헬기를 동원할 예정이다.,1,이란에서는 석유의 자산을 다시 가져오려고 헬리콥터를 이용할 계획이다.,clova
458,여름이 이정도니 봄가을에는 추울듯요.,봄에는 더울 것 같아요.,2,봄이 되면 따뜻할 것으로 예상됩니다.,clova
459,훈련소씬 부분은 역사상 최고의 각본이 아닐까 싶다.,역사상 최고의 각본은 훈련소 장면이라고 생각한다.,0,역사 속 가장 훌륭한 시나리오라고 생각하는 부분은 바로 훈련소 장면이다.,clova
460,사업 참여를 희망하는 기업은 이달 6일까지 담양군 홈페이지 고시공고란을 확인 후 신청서류를 준비하여 담양군청 풀뿌리경제과로 방문 또는 우편 접수하면 된다.,담양군청 풀뿌리경제과는 우편 접수를 받는다.,0,담양의 군청 내 풀뿌리 경제 관련 부서에서는 우편으로 신청을 받고 있다.,clova
461,천황제 폐지 주장은 다이쇼 데모크라시라 불리는 일본의 자유 민권운동 기간 당시 군주제 폐지 운동의 일환으로 처음 등장하였다.,다이쇼 데모크라시는 일본의 자유 민권운동 기간을 뜻한다.,0,일본의 자유민권운동 시기를 일컫는 말이 바로 다이쇼 데모크라시다.,clova
462,복수는 복수를 낳고 다시 그 복수는 다른 복수를 불러일으킨다.,복수는 복수의 원인이 되고 복수의 결과는 복수가 된다.,0,복수를 일으키는 것은 복수이며 그 결과 또한 복수로 이어진다.,clova
463,"소방차량은 5대중 1대가 내구연한이 지났고, 헬멧에 부착해 사용하는 헤드랜턴은 6명중 1명만이 지급받았습니다.",부족한 물품은 각자 사비를 들여 구입했습니다.,1,모자란 물품을 개별로 자비로 마련하였습니다.,clova
464,중소벤처기업부는 지난달 26일부터 진행 중인 동행세일을 통해 1주일간 비대면 판매로 매출 51억원이 발생했다고 7일 밝혔다.,동행세일은 1주일만 진행한다.,1,동반 할인 행사는 오직 일주일 동안만 실시된다.,clova
465,"올해 여름은 빙과, 유통, 생수, 의류 등의 회사와 손잡고 기후행동 공익활동을 한다.",올 여름의 기후행동 공익활동은 단독으로 진행할 것이다.,2,올여름에 이루어질 기후 행동의 공익 활동들은 독자적으로 추진될 예정이다.,clova
466,정말 세심한 배려가 곳곳에 있던 숙소였습니다.,배려심이 깊은 주인분이 있었습니다.,1,주인분은 배려심이 깊으셨습니다.,clova
467,2007년 3월 23일 인천국제공항과 김포국제공항을 연결하는 1단계 구간이 개통된지 3년만이다.,인천 국제공항은 다른 공항과 연결되어 있지 않다.,2,인천국제공항은 타 공항과 이어져 있지 않다.,clova
468,확산되고 있는 게시물 내용은 로버트 다우니 주니어가 팬들에게 행동으로 스포일러를 한 듯이 편집됐으나 이는 사실과 다르다.,확산되고 있는 게시물 내용은 사실과 같다.,2,퍼지고 있는 게시물의 내용은 사실이다.,clova
469,안나는 요양차 방문한 바닷가 마을의 낡은 저택에서 금발의 아름다운 소녀 마니를 만난다.,마니는 빨간 머리의 소녀이다.,2,빨간 머리를 가진 소녀가 바로 마니다.,clova
470,고용보험 적용 확대에 맞춰 모성보호급여 대상도 확대한다.,고용보험 적용 확대에 맞춰 모성보호급여 대상도 10% 확대한다.,1,모성보호 급여 지급 대상을 10% 늘려 고용 보험 확대 시행에 발맞춘다.,clova
471,나폴레옹 전쟁 중인 1805년 영국 군함 서프라이즈 호의 잭 오브리 함장은 프랑스 무장선 아케론 호를 나포하거나 파괴하라는 명령을 받는다.,잭 오브리 함장은 영국인이다.,1,잭 오브리 선장은 영국 출신이다.,clova
472,전체적으로 깨끗한 시설이 만족스러웠습니다.,시설은 전체적으로 깨끗했습니다.,0,전체적으로 이 곳은 청결하였습니다.,clova
473,짐 자무시의 이 영화는 너무나 난해하다.,짐 자무시의 모든 영화는 난해하다.,1,짐 자무시가 연출한 작품은 모두 이해하기 어렵다.,clova
474,또 샤워실이 3개이긴한데 물이 잘안내려갑니다.,샤워실마다 욕조가 있어 좋습니다.,1,욕조가 비치된 샤워실이 있어 만족스럽습니다.,clova
475,헨리 8세가 교황을 무시하고 앤과 결혼한 뒤 모어는 관직에서 물러나 야심가 크롬웰의 모략으로 체포되어 반역죄인으로서 사형을 당한다.,헨리 8세는 반역죄인으로 체포되어 홀로 유배생활을 한다.,1,헨리 8세가 역모 혐의로 구속돼 고독히 귀양살이를 했다.,clova
476,인플루엔자 무료접종 관련 상담은 포천시보건소로 문의하면 된다.,포천시보건소에서는 인플루엔자 무료접종을 시행하고 있다.,1,포천시 보건소에서 인플루엔자 백신을 무료로 접종받을 수 있도록 하고 있다.,clova
477,"마지막으로, 디지털 뉴딜과 그린 뉴딜을 뒷받침할 수 있도록 탄탄하고 촘촘한 고용안전망 구축에 1조원을 반영하였습니다.",고용안전망 구축없이는 디지털 그린과 그린 뉴딜은 실패할 수 밖에 없습니다.,1,디지털 그린 및 그린 뉴딜이 성공하려면 고용 안전망을 반드시 구축해야 합니다.,clova
478,유주얼 서스펙트 2에도 1점안준 나에게 1점주게 만든 영화,내가 1점을 준 영화.,0,내가 점수를 매겨서 1점밖에 안된 그 영화.,clova
479,"따라서 이 화엄사 대웅전은 삼신불상은 조성연대를 짐작할 수 있고, 도상이나 양식 면에서 17세기의 기준이 되는 불상으로 높은 의의가 있는 상으로 평가된다.",화엄사 대웅전의 삼신불상은 높은 의의가 있다고 평가된다.,0,화엄사의 대웅전 속 삼신불상은 그 가치가 높게 여겨진다는 평이다.,clova
480,2층 침실에서의 하룻밤은 매우 낭만적인 시간이였습니다.,2층 침실에서는 한 번도 지낸 적이 없습니다.,2,한번도 경험해보지 않은 것이 바로 이층 침실의 사용이다.,clova
481,에너지 정책의 설정에 있어 경제성에 기반을 두고 에너지를 공급한다는 기본방침을 관철한다 할지라도 국제수지에 대한 영향이나 고용문제 등이 배려되지 않으면 안 된다.,고용 문제는 그다지 중요하지 않기때문에 고려하지 않아도 된다.,2,고용 문제를 생각할 필요 없이 별로 중요하지 않다.,clova
482,이와 함께 마스크 등 학교현장의 방역물품 보유현황을 조사해 부족한 물량을 지원하기로 했다.,학교현장에서의 방역물품 보유현황을 조사한다.,0,학교 현장에서 보유한 방역 물품 현황이 조사된다.,clova
483,"사건의 전말은 21일 오후 4시 경, 길에서 이야기를 하고 있는 세 청년들이 의심스럽다고 판단한 경찰들이 해당 청년들에게 접근하면서부터 시작되었다.",경찰이 해당 청년들을 체포하면서부터 사건의 전말이 시작되었다.,2,사건의 실마리는 경찰이 그 청년들을 붙잡은 순간부터 풀리기 시작했다.,clova
484,"팬들은 린곰, 슬린, 린슬 등으로 이들을 묶어 부르며 아이린과 슬기의 유닛 결성에 긍정적인 반응을 보이고 있다.",팬들은 아이린과 슬기의 유닛 결성에 부정적인 반응을 보이고 있다.,2,아이린과 슬기의 유닛 구성에 대해 팬들이 부정적인 의견을 나타내고 있다.,clova
485,"태연이 영국 런던, 독일 베른, 스위스 그린델발트, 이탈리아 밀라노를 여행하며 찍은 브이로그다.",태연이 국내 여행지를 여행하며 찍은 브이로그다.,2,태연의 국내 여행지 탐방기를 담은 브이로그이다.,clova
486,다음 날 부치와 키드는 농부들을 습격해 돈과 말을 빼앗고 마을에 내려와 식당에 들어간다.,부치와 키드는 농부들을 습격한다.,0,농부를 공격하는 부치와 키드.,clova
487,처음 듣는 칭찬에 홍탁집 모자는 놀란 기색을 드러냈다.,홍탁집 모자 인생 처음으로 칭찬을 들었다.,1,처음으로 홍탁집 모자가 칭찬이라는 것을 들어봤다.,clova
488,서울 용산 미군기지 옆 옛 방위사업청 부지로 옮길 예정이었던 경찰청 시설이 용산 정비창 정비 지역으로 이전하면서 해당 부지는 용산공원 내로 편입된다.,서울 용산 미군기지 옆 옛 방위사업청 부지도 용산공원 내로 편입된다.,0,"옛 방위사업청이 있던 자리도 용산 미군 기지 옆에 있으나, 앞으로는 용산 공원 안으로 포함될 예정이다.",clova
489,연못 주변에는 초화류 등을 심어 사시사철 꽃을 볼 수 있는 공간으로 만들 계획이다.,꽃을 사계절 내내 연못 주변에서 볼 수 있을 예정이다.,0,연못 주위에서는 앞으로 사계절 내내 꽃들을 볼 수 있게 될 전망이다.,clova
490,또한 이번 이름 바꾸기는 문재인 정부 들어서 공기업 및 공기관들에게 강조되고 있는 공기업의 사회적 가치 실현과도 동떨어진 행동이다.,공기업에게사회적 가치 실현이 강조되고 있다.,0,공기업의 사회적 가치 실현에 대한 중요성이 부각되고 있다.,clova
491,또한 그린스마트스쿨 사업 등 12조7000억원 규모의 새로운 유형 신규 민자사업도 포괄주의 등을 활용해 적극 발굴할 계획이다.,그린스마트스쿨 사업은 새로운 유형의 신규 민자사업이다.,0,그린스마트 스쿨 프로젝트는 새로운 형태의 신규 민간 투자 사업이다.,clova
492,첫 활동에 나선 복지기동대 6명은 낡은 벽지를 새로 도배하고 집 곳곳을 살펴 방수작업을 했다.,복지기동대의 활동은 이번이 처음이다.,0,복지 기동대가 처음으로 활동을 개시한 것이다.,clova
493,여대생인 경숙은 걸스카우트 봉사활동에 참여했다가 영우를 만나 자원봉사자로서 그의 눈과 지팡이가 된다.,여대생인 경숙은 영우를 만나 연민을 느낀다.,1,경숙이라는 대학생은 영우라는 사람을 만난 뒤 동정심을 갖게 되었다.,clova
494,또 소비자가 안심하고 방문할 수 있는 안심식당을 확산해 외식 소비를 유도할 계획이다.,외식 소비를 유도할 계획의 일환으로 소비자가 안심하고 방문할 수 있는 안심식당을 확산한다.,0,소비자들이 안심하며 찾아갈 수 있도록 안심식당 확산을 통해 외식 소비 촉진 방안을 마련하고자 한다.,clova
495,더블헤더와 월요일 경기 시에는 선수들의 체력적인 부담을 고려하여 연장전을 치르지 않는다.,월요일 경기 시에는 선수들의 체력적 부담을 무시한다.,2,월요일에 열리는 경기에서 선수들의 체력 부담은 간과된다.,clova
496,"문제인 전 대표, 박지원 국민의당 비상대책위원장, 박원순 서울시장 등 야권에서는 애도의 뜻을 표하고, 정부의 강강진압과 사과거부 등에 대해서 비판하였다.","문재인 전 대표, 박지원 국민의당 비상대채위원장, 박원순 서울시장은 야권이다.",0,문재인 전 더불어민주당 대표와 박지원 국민의당 비대위 위원장 그리고 박원순 서울시장이 속하는 것은 야당 측이다.,clova
497,실제인물이라고 나오는 사람들이 더 연기를 잘한다.,실제인물이라고 등장하는 사람들이 있다.,0,실제 사람으로 여겨지는 이들이 존재한다.,clova
498,에스더의 매력에 이끌린 부부는 에스더를 입양하기로 결심했고 이후 그녀는 부부의 장남 다니엘과 청각장애를 가진 막내딸 멕스 사이의 둘째 딸이 됐다.,부부는 에스더를 그들의 둘째 딸로 입양했다.,0,둘째 아이로서 에스더가 부부에게 입양되었다.,clova
499,배우들의 캐스팅도 좋고 내용도 재밌는 드라마다.,배우들의 캐스팅이 몹시 별로다.,2,배우들 캐스팅은 너무나도 실망스럽다.,clova
500,큐브릭이란 이름만 보고 10점평가들한듯,큐브릭은 10점을 받지 못한듯.,2,큐브릭이 10점을 얻지 못했나보다.,clova
501,공항가기 이곳저곳 이동하기 아주 편했습니다.,공항가기는 너무 불편했습니다.,2,공항까지 가는 것이 매우 번거로웠습니다.,clova
502,이 영화로 주성치 아태영화제 남우주연상 수상했다.,이 영화는 주성치를 아태영화제에서 수상하게 만든 작품이다.,0,이 작품은 주성치가 아태 영화제에서 상을 타게 해준 영화다.,clova
503,강원 영동지역 동해상사고속 노조는 이미 파업에 돌입했다.,강원 영동지역 동해상사고속 노조는 파업 예정이다.,2,강원도 영동지방의 동해상사고속 기업 노조가 곧 파업을 진행할 계획이다.,clova
504,"이모 병장 등이 윤 일병을 지속적으로 폭행하고, 윤 일병이 견디지 못하자 수액을 주사해가면서 폭행한 것으로 밝혀졌습니다.",윤일병은 이모 병장에게 지속적으로 폭행당했다.,0,이모 병장은 윤일병을 끊임없이 구타하였다.,clova
505,사진으로 보는것 이상으로 깨끗하고 편안합니다.,사진으로 본 적이 있다.,0,사진 속에서 본 기억이 있다.,clova
506,"김염은 일제강점기 시절, 독립운동의 근거지 만주 치치하얼에서 1위안을 손에 들고 홀로 중국 상하이로 떠난다.",김염은 상하이로 떠난다.,0,김염이 상하이행을 택한다.,clova
507,3단계의 목표는 급격한 유행 확산을 차단하고 방역망의 통제력을 다시 회복하는 것이다.,3단계의 목표는 방역망의 통제력을 다시 회복하고 급격한 유행 확산을 차단하는 것이다.,0,3단계 조치의 목적은 방역망의 통제력 복원과 급속한 유행 확산 저지에 있다.,clova
508,"준비단은 이미 공동체 지원센터를 운영하고 있는 타 지자체의 사례와 각자의 지식, 의견을 공유했다.",타 지자체는 공동체 지원센터를 운영하고 있다.,0,다른 지방자치단체들은 공동체지원 센터를 가동하고 있다.,clova
509,더불어 풍광수토 쌀 홍보를 위해 전문 판매도우미를 고용하여 소비자에게 신동진 단일품종과 상등급 품광수토 쌀을 설명을 홍보할 수 있도록 했다.,전문 판매도우미를 고용하여서 홍보 효과는 강화되었다.,1,전문적인 판매 도우미를 채용함으로써 홍보 효과가 증대하였다.,clova
510,저희 선수들은 올림픽에서 싸웠던 팀들과 대등하게 경기하고 그것을 통해 운동선수로서의 자신감과 성취감을 얻고 더욱 성장해 나가고 싶습니다.,저희 선수들은 올림픽에서 경기를 한 적이 없습니다.,2,저희 팀 멤버들은 하계 또는 동계올림픽에서 시합에 참여한 경력이 전무합니다.,clova
511,다만 사실조사 기간 중에 과태료 부과대상자가 자진 신고를 하는 경우 과태료 경감 혜택도 있다.,자진 신고를 빠르게 할수록 과태료 경감의 비율이 높아진다.,1,자진신고가 신속하게 이루어질 때 과태료 감면 비율이 더 커진다.,clova
512,반크는 네 가지 액션플랜을 가지고 대국민 프로젝트를 이어가고 있습니다.,대국민 프로젝트는 벌써 3년째 지속되고 있습니다.,1,대규모 프로젝트를 시작한 지 이미 3년이 흘렀습니다.,clova
513,방 세개에 공용 주방과 샤워장이 하나있습니다,방은 세개고 주방은 공용으로 사용해야합니다.,0,방은 총 세 개이며 주방의 경우 공동으로 이용하셔야 합니다.,clova
514,"전남생활체육대축전은 25일부터 3일간 진남경기장 등에서 검도, 게이트볼, 궁도 등 22개 종목으로 치러진다.",전남생활체육대축전은 진남경기장 등에서 3일동안 진행된다.,0,전남 생활체육 대축전이 진남 경기장을 비롯한 장소에서 사흘간 열린다.,clova
515,전남 과학기술 발전에 기여하고 있다.,전남 과학기술 향상에 기여하고 있다.,0,전남 지역의 과학기술 발전에 이바지하고 있는 중이다.,clova
516,처음 10분보고 결말을 예상 할수있는 뻔한 스토리,요즘 유행하는 전개 방식을 그대로 가져온 스토리.,1,최근 유행하는 전개를 그대로 차용한 이야기.,clova
517,아이들과 함께하기에 더할나위없이좋았습니다.,아이들과 함께할 수 있었습니다.,0,아이들이랑 같이 할 수 있었어요.,clova
518,마치 좋은 친척집에 머문 느낌이었어요.,좋은 친척집처럼 느껴졌어요.,0,친척 집 같이 좋게 느껴졌네요.,clova
519,첫 번째 에피소드는 그저 그런데 두번째 에피소드가 꿀잼 지금도 여운이 가시질 않는다,두 번째 에피소드는 그냥 그랬다.,2,두 번째 회차는 그저 그랬다.,clova
520,"유단자부, 여학생부, 고학년부, 중학년부, 저학년부 등 총 8개 부문으로 나뉘어 대회가 진행된다.","대회는 남학생부, 여학생부 총 2개 부문으로 나뉘어 진행된다.",2,이 행사는 남학생부와 여학생부로 구분하여 총 두 개의 분야에서 시행됩니다.,clova
521,"오는 2025년까지 전기차 113만 대, 수소차 20만 대 등 친환경 미래차 보급이 확대된다.",친환경 미래차 보급에 수소차는 제외되었다.,2,수소차는 친환경 미래차의 보급에서 빠졌다.,clova
522,"마트랑 빵집, 카페도 아주 가까이에 있구요.",아주 가까이 빵집이 있어요.,0,빵집이 매우 근접하게 자리 잡고 있습니다.,clova
523,겉에 보이는 모습보다 내부가 훨씬 좋아요.,외부 모습도 좋아요.,1,외부 디자인이 멋져요.,clova
524,오랜만에 가족과 함께 볼 만한 영화가 나왔다고 생각합니다,가족들과 함께 이 영화를 볼 계획입니다.,1,"이 영화, 가족들이랑 같이 관람할 예정입니다.",clova
525,영자에게 실연을 당한 병태는 좌절을 딛고 군에 입대한다.,병태는 영자에게 실연을 당한 후 군인이 되었다.,0,병태가 영자로 인해 이별을 겪은 뒤 입대했다.,clova
526,특히 저녁의 풍경은 매우매우 아름답습니다.,오후만 되어도 깜깜해서 아무것도 안보입니다.,2,오후가 되면 이미 어두워져서 아무 것도 보이지 않습니다.,clova
527,샘은 기사를 쓰기 위해 몇 달 전 파리 외곽의 이슬람 근본주의 집단에 잠입한 언론인이다.,샘은 집단에 잠입한 경험을 바탕으로 기사를 쓴다.,1,샘은 특정 집단에 몰래 들어간 경험에 기반하여 글을 작성한다.,clova
528,내인생 최고의 드라마 라는 수식어가 당연한 최고의 걸작이었다.,내 인생 최악의 드라마였다.,2,내 생애 가장 실망스러웠던 드라마다.,clova
529,풍부한 유동성이 기업 투자와 가계의 수입 창출에 기여할 수 있도록 최선의 노력을 경주해 나가야 합니다.,풍부한 유동성이 부동산 시장에서만 돌아다닐 수 있게 노력을 경주해 나가야 합니다.,2,부동산 시장 내에서의 활발한 자금 순환을 위해 전력을 다해야 합니다.,clova
530,치료방법 꽤 신선했고 에단호크 뱀파이어 존멋,에단호크 뱀파이어가 신선했다.,1,에단 호크 주연의 뱀파이어물은 참신함이 돋보였다.,clova
531,인테리어나 시설이 매우 맘에 들었구요.,인테리어가 만족스러웠어요.,0,실내 디자인이 마음에 들었습니다.,clova
532,공동주택단지에서 공간을 무상으로 제공하고 시에서 리모델링 및 운영비 지원을 통해 돌봄서비스를 제공한다.,시에서 공간을 무상으로 제공한다.,2,시는 무료로 공간을 제공한다.,clova
533,같은 시기에 오토바이 제조 업체로 이미 일본을 대표하는 존재가 된 야마하에서는 닛산 자동차와 제휴하여 고성능 스포츠카의 개발을 진행하고 있었다.,야마하는 일본은 대표하는 오토바이 제조 업체였다.,0,일본을 대표하는 오토바이 제조업체가 바로 야마하였다.,clova
534,사업별로는 고용유지지원금 예산이 정부안보다 5168억원 증액됐다.,고용유지지원금 예산이 정부안보다 5168억원 감액됐다.,2,정부안 대비 고용유지지원금 예산은 5168억원이 줄어들었다.,clova
535,이들은 4월부터 3개월간 5만원권 위조지폐 5552장를 만들고 유통시킨 혐의를 받고 있다.,4월부터 3개월간 1만원권 위조지폐를 만든 일당이 존재한다.,2,지난 4월부터 석 달간 만 원짜리 가짜 돈을 제작하던 범인들이 있다.,clova
536,어머니와 함께하는 여행이기때문에 이런 상황이 난감했습니다.,여행을 어머니와 함께 했습니다.,0,어머니와 같이 여행하였습니다.,clova
537,사칭 계정은 문재인 대통령 행세를 하면서 이재명 경기도지사를 옹호하는 글을 올리기도 했다.,사칭 계정은 문재인 대통령을 옹호하는 글을 올렸다.,2,문재인 대통령 지지글은 명의도용된 계정에 의해 게시되었다.,clova
538,"일본 총리가 될 아베 신조 자민당 총재가 다음 주 중으로 대한민국 박근혜 대통령 당선자를 위해 특사를 파견할 계획이었으나, 늦춰질 전망이다.",아베 신조 자민당 총재의 특사 파견은 2주 뒤에 이루어질 예정이다.,1,아베 신조 자민당 대표가 보내는 특사는 이 주 후 파견될 계획이다.,clova
539,결국 키라는 13살 되던 해에 미국에 교환 학생으로 가게 된다.,키라는 학생이 아니다.,2,학생이 아닌 자는 키라다.,clova
540,"김학규가 중풍으로 쓰러져 운신을 못 할 때, 박정희는 한학자인 최서면에게 김학규를 입원시키고 돌봐주도록 부탁하여 국군 병원에 입원할 수 있도록 하였다.",김학규는 박정희가 도움을 준 사실을 모른다.,1,김학규 씨는 박정희로부터 받은 도움에 대해 전혀 알지 못한다.,clova
541,한인마트는 물론 콜스마켓도 가까이 있었습니다.,한인마트와 콜스마켓은 같은 방향에 있습니다.,1,한인 마트와 콜스 마켓이 동일한 방향을 향해 자리 잡고 있습니다.,clova
542,러시아 혁명기를 그린 전쟁영화로서는 수작이다.,해당 영화는 러시아 혁명기에 관한 내용으로 수작이었다.,0,이 작품은 러시아 혁명 시기를 다룬 뛰어난 영화였다.,clova
543,앞서 지난 12일 경기남부지방경찰청 마약 수사대는 한 씨 진술에 변화가 있을 경우 김 씨에 대한 재수사를 검토할 계획이라고 밝혔다.,김 씨에 대한 재수사를 검토할 계획은 없다.,2,김 씨를 다시 수사하는 것을 고려하고 있지 않다.,clova
544,좋은 평점을 준 사람들을 믿을 수가 없다,사람들이 왜 좋은 평점을 남겼는지 공감된다.,2,사람들이 좋은 평가 주는 이유를 체감하겠다.,clova
545,대한민국 국방부가 8년간 5억 원을 들여 2010년에 개발 완료한 신형 전투화는 뒷굽이 분리되는 문제가 발생했다.,2010년 개발된 신형 전투화는 아무런 문제없이 완벽하였다.,2,완벽하게 제작된 2010년도에 출시된 새로운 전투화에는 어떠한 결점도 없었다.,clova
546,다만 각종 조사와 검토 기준은 완화하지 않는다.,검토 기준을 완화한다.,2,검토 기준을 이완하기로 한다.,clova
547,3월 25일에 쁘르피니는 인도네시아 외무장관으로부터 스토리 아이디어에 동의할 수 없어 합작영화 제작을 승인할 수 없다는 통보를 받아들인다.,쁘르피니는 합작영화를 제작하게 된다.,2,쁘르피니가 참여하여 협력 영화를 만들게 되었다.,clova
548,그는 예상치 못한 죽음 앞에서 좌절하고 한없이 슬퍼하기보다는 담담하게 죽음을 맞이한다.,그는 죽음 앞에서 한없이 좌절하고 슬퍼한다.,2,죽음 앞에서 그가 끝없이 절망하며 애통해 한다.,clova
549,조지는 베드포드 폴즈를 항상 떠나고 싶어 하지만 상황은 그가 바라는 대로 흘러가지 않는다.,조지는 베드포드 폴즈에 살고 있다.,0,조지라는 사람은 베드포드 폴즈에서 거주하고 있다.,clova
550,그러나 케이트가 자신을 이상하게 여긴다는 걸 알게된 에스더는 술수를 부려 부부 사이를 이간질했고 여기에 속아 넘어간 존은 양딸만을 챙기며 아내를 멀리 대한다.,에스더는 미인계를 부려 부부 사이를 이간질한다.,1,에스더가 미모를 이용하여 부부 간 갈등을 조장한다.,clova
551,정말 인상깊은 에어비앤비 체험이었습니다.,처음으로 에어비앤비 체험했었습니다.,1,에어비앤비 체험이라는 것을 난생 처음 해봤습니다.,clova
552,사업용 수소차에 대해서는 연료보조금을 지급해 운행 경제성을 높이고 차량 수요를 보다 확대한다.,가정용 수소차에만 연료보조금을 지금해 차량 수요를 확대한다.,2,가정용 수소차에 한해 연료 보조금 지급으로 수요 확대를 도모한다.,clova
553,이제 김지우작가 드라마 불안해서 안보렵니다.,김지우 작가의 드라마는 안보려구요.,0,김지우가 쓴 드라마를 안 보려고 합니다.,clova
554,아울러 매점매석 등 불공정 거래 행위에 대해서는 무관용 원칙으로 강력하게 대응한다.,불공정 거래 행위에 대해 벌금을 부과한다.,1,부정 거래에 관한 행위를 제재하기 위해 과태료를 매긴다.,clova
555,대가족이 지내기에 너무 안성맞춤 숙소였습니다.,대가족이 지내기에 딱 맞는 숙소였습니다.,0,대가족 거주에 적합한 숙소였습니다.,clova
556,이토록 여운이 오래 가는 영화도 드물것이다.,이렇게 여운이 계속 남는 영화는 흔하다.,2,이렇게 오랫동안 생각나는 영화가 드물지 않다.,clova
557,역시 영화보다는 원작 책이 더 재미있네요,영화가 원작보다 더 재미있네요.,2,원작을 뛰어넘게 영화는 흥미롭습니다.,clova
558,친구 3명이서 도쿄여행지로 딱 좋은거같습니다,친구들과 같이 갈 도쿄 여행지는 아닙니다.,2,도쿄로 떠나는 여행은 친구들과 함께할 곳이 아닙니다.,clova
559,너무 멋진 정원을 갖춘 훌륭한 집이었어요.,호스트가 직접 관리하는 정원이라고 했어요.,1,호스트 본인이 손수 가꾸는 정원이라 들었어요.,clova
560,지하철역과의 거리도 가까워 이동하기 편합니다.,지하철역은 멀지만 버스정류장은 가깝습니다.,2,버스 정류장은 가까우나 지하철 역은 멉니다.,clova
561,"가장 잘 알려진 것에는 샴페인이 있는데, 이는 프랑스의 샹파뉴 지역에서 생산된 발포성 포도주를 지칭하는 것이다.",가장 잘 알려진 샴페인은 스페인에서 생산된다.,2,가장 널리 알려진 샴페인의 원산지는 스페인이다.,clova
562,매체는 박항서 감독이 매달 2만2000달러를 받는다고 했다.,매체는 박항서 감독에게 직접 들었다.,1,"박항서 감독으로부터 직접 들은 바가 있다, 매체를 통해.",clova
563,개그맨 안일권 씨가 이종격투기 선수 김동현 씨 도발에 답했다.,안일권 씨는 김동현 씨의 도발에 코믹하게 답하였다.,1,김동현 씨의 도발에 대해 안일권 씨가 유머러스하게 대응했다.,clova
564,진짜 모성애 부성애 형제애를 다 느낄수있는 영화 애들 개 귀엽다,부성애 모성애를 다 느낄 수 있다.,0,부친과 모친 모두에 대한 사랑을 경험할 수 있다.,clova
565,"위치도 좋고, 개인실 공간도 쾌적합니다.",개인실 공간이 없습니다.,2,개인용 공간은 존재하지 않습니다.,clova
566,다시 아테네를 간다면 이곳에서 지낼것입니다.,아테네에 다시 간다해도 이곳에서 지낼 생각은 없습니다.,2,다시 아테네를 방문한다고 해도 이곳에서의 체류 계획은 전혀 없습니다.,clova
567,대형마트가 가깝고 대중교통이용이 편리합니다.,지하철역이 근처에 있습니다.,1,인근에 지하철역이 자리잡고 있습니다.,clova
568,"양 부처는 협약 과제의 구체적인 실행방법을 논의하고 이행상황을 점검하는 한편, 새로운 협업과제를 지속 발굴하기 위한 정책협의회를 설치해 운영해 나갈 계획이다.",정책협의회는 전문가들의 자문을 받을 계획이다.,1,전문가들로부터 자문을 얻으려는 계획이 정책협의회에서 있다.,clova
